ID	geneLength	allCountsMulti	filteredCountsMulti	dupRateMulti	dupsPerIdMulti	RPKMulti	PKMMulti	allCounts	filteredCounts	dupRate	dupsPerId	RPK	RPKM
YDR299W	1605	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL015C	933	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR304C	678	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR271C	372	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL181W	258	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR367W	666	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR085C	1863	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL097C	1305	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL139C	672	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR200C	1815	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR191W	1113	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR451C	1062	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR469W	528	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR470C	1509	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR105C	1422	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR483W	1329	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL123W	423	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL199C	2064	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR505C	2526	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL045W-A	288	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL045C	921	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR361C	852	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR406W-A	246	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR199W	366	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR266C	1920	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL242W	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR002W	606	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR214W	1053	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR130C	876	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL176W	2127	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR358W	1674	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR544C	429	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR460W	966	0	0	NA	0	0	0	0	0	NA	0	0	0
snR84	550	1	1	0	0	1.81818181818182	31.0540200205267	1	1	0	0	1.81818181818182	31.0540200205267
YDR034W-B	156	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL028C	2295	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR061W	1620	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR060W	3078	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR169C-A	150	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR363W	1371	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR422C	2448	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR119W	2307	0	0	NA	0	0	0	0	0	NA	0	0	0
tR(ACG)D	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR097C	3729	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR042C	603	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL160C	1521	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR425W	1878	0	0	NA	0	0	0	0	0	NA	0	0	0
snR13	124	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR228C	1881	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR319C	825	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR471W	411	1	1	0	0	2.4330900243309	41.5564744800236	1	1	0	0	2.4330900243309	41.5564744800236
YDR089W	2610	0	0	NA	0	0	0	0	0	NA	0	0	0
tD(GUC)D	72	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR275W	708	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR043C	696	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR129C	1929	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR136C	573	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL066W	1287	1	1	0	0	0.777000777000777	13.2709487267208	1	1	0	0	0.777000777000777	13.2709487267208
YDR302W	660	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR239C	2364	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR539W	1512	0	0	NA	0	0	0	0	0	NA	0	0	0
tK(CUU)D1	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL125C	477	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR493W	372	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR101C	1782	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR182W-A	204	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR212W	1680	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR476C	675	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL131W	1323	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR458C	1992	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR081C	2778	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL071C	375	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR113C	1122	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR168W	1521	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR520C	2319	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR307W	1989	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR265W	1014	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL076C	885	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL006W	846	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL086W	822	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR238C	2922	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR077W	1017	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR381C-A	345	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL023C	321	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL083C	432	1	1	0	0	2.31481481481481	39.5363680816891	1	1	0	0	2.31481481481481	39.5363680816891
YDR036C	1503	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR057W	1629	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR513W	432	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR487C	627	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR066C	591	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR352W	954	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR278C	318	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR079C-A	219	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR204W	1008	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL247W-A	75	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL024C	1407	0	0	NA	0	0	0	0	0	NA	0	0	0
tA(AGC)D	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR109C	2148	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR466W	2697	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR427W	1182	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL044C	1323	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL079C	1506	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR193W	399	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR305C	654	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR377W	306	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR219C	1398	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR416W	2580	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR365C	1887	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL233W	1377	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR287W	879	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR448W	1305	1	1	0	0	0.766283524904215	13.0879011580764	1	1	0	0	0.766283524904215	13.0879011580764
YDR180W	4482	0	0	NA	0	0	0	0	0	NA	0	0	0
tF(GAA)D	73	0	0	NA	0	0	0	0	0	NA	0	0	0
tT(AGU)D	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR294C	1770	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR198C	1440	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL163W	303	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL119C	924	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR501W	1566	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL214C	2100	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR264C	2295	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR343C	1713	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR373W	573	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR354W	1143	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR246W	660	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR428C	786	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR157W	402	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR316W	1416	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL142C	852	1	1	0	0	1.17370892018779	20.0466091681804	1	1	0	0	1.17370892018779	20.0466091681804
YDR253C	576	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL112W	4311	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR545W	5391	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL187C	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL138W	2292	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR528W	1272	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR284C	870	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR050C	747	1	1	0	0	1.33868808567604	22.8644056376033	1	1	0	0	1.33868808567604	22.8644056376033
YDL010W	696	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL065C	1029	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR349C	1791	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL098C	585	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL234C	2241	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR118W	1959	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR118W-A	117	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR159W	3906	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR111C	1524	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR128W	3447	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL034W	345	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR065W	1098	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL004W	483	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR024W	486	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL171C	6438	1	1	0	0	0.155327741534638	2.65295293744792	1	1	0	0	0.155327741534638	2.65295293744792
YDR083W	1179	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR457W	9807	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR014W	1944	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR206W	2655	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR478W	597	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR169C	1542	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR115W	318	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL159W-A	132	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL232W	111	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL240C-A	138	0	0	NA	0	0	0	0	0	NA	0	0	0
tE(CUC)D	72	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL152W	366	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR432W	1245	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL022C-A	249	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL114W-A	114	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR410C	720	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR464C-A	189	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL072C	612	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR053W	396	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL012C	324	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR482C	408	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL070W	1917	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR064W	456	1	1	0	0	2.19298245614035	37.4555066037055	1	1	0	0	2.19298245614035	37.4555066037055
YDL135C	609	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL077C	3150	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR354C-A	144	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL033C	1254	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL031W	2988	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR398W	1932	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR326C	4317	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL052C	912	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR536W	1710	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR397C	441	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL116W	2181	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR028C	3045	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL007W	1314	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR236C	657	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR011W	4506	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR155C	489	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR414C	1089	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR026C	1713	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL073W	2955	0	0	NA	0	0	0	0	0	NA	0	0	0
tY(GUA)D	75	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL115C	1062	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL145C	3606	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR203W	318	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL104C	1224	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL149W	2994	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR231C	618	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR045C	333	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL075W	342	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR415C	1125	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR339C	570	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL213C	678	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR096W	2685	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL019C	3852	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL022W	1176	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR413C	576	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR391C	699	1	1	0	0	1.43061516452074	24.434493578383	1	1	0	0	1.43061516452074	24.434493578383
YDR091C	1827	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR240C	1479	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL244W	1023	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR179C	489	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL165W	576	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL140C	5202	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR120C	1713	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR003W	633	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR499W	2244	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR166C	2916	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL092W	441	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL041W	354	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL241W	372	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL082W	600	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR277C	1302	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR291W	3234	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR475C	2631	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR244W	1839	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR407C	3870	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR382W	333	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR102C	333	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL188C	1134	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR405W	792	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR443C	4263	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR059C	447	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR144C	1791	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL157C	357	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL058W	5373	1	1	0	0	0.186115764005211	3.1788034638544	1	1	0	0	0.186115764005211	3.1788034638544
YDL096C	327	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL155W	1284	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR147W	1605	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL191W	363	1	1	0	0	2.75482093663912	47.0515454856465	0	0	NA	0	0	0
YDL128W	1236	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR310C	3189	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL160C-A	243	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR127W	4767	1	1	0	0	0.209775540172016	3.58290560337522	1	1	0	0	0.209775540172016	3.58290560337522
YDR497C	1755	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL162C	357	0	0	NA	0	0	0	0	0	NA	0	0	0
tS(AGA)D3	83	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR201W	498	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR163W	528	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL146W	1476	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR363W-A	270	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL221W	552	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL089W	1455	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR385W	2529	3	3	0	0	1.18623962040332	20.2606299066307	0	0	NA	0	0	0
YDR331W	1236	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR196C	726	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR116C	858	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR001C	2256	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL230W	1008	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR160W	2559	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR123C	915	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR322W	1104	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR040C	3276	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR025W	471	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR046C	1815	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL057W	987	1	1	0	0	1.01317122593718	17.3046717439612	1	1	0	0	1.01317122593718	17.3046717439612
YDL248W	1152	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR008C	351	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR029W	315	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR485C	2388	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR408C	645	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR038C	3276	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL204W	1182	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR019C	1203	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR477W	1902	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR254W	1377	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR514C	1452	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR296W	681	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL216C	1323	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL100C	1065	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL068W	330	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL026W	312	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL124W	939	1	1	0	0	1.06496272630458	18.1892556030774	1	1	0	0	1.06496272630458	18.1892556030774
YDL227C	1761	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL111C	798	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR324C	2331	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL170W	1587	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR317W	1245	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR436W	2133	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR208W	2340	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR386W	1899	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR504C	384	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL220C	2775	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR396W	501	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR258C	2436	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR176W	2109	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL099W	1026	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR380W	1908	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL110C	453	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR148C	1392	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL201W	861	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL107W	1056	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR515W	1344	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR133C	336	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR378C	261	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR473C	1410	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR403W	1611	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR268W	1140	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR409W	2715	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR173C	1068	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR187C	519	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR389W	1965	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR417C	372	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR165W	1335	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL113C	1923	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR426C	378	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR521W	336	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR086C	243	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL021W	936	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR023W	1389	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR394W	1287	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR320C-A	219	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR003W-A	123	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR183W	693	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR245W	1182	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR431W	312	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL154W	2706	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL184C	78	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR153C	1236	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR014W-A	489	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR434W	1605	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL002C	612	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR225W	399	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR418W	498	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR224C	396	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR502C	1155	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR447C	411	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL039C	2097	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL225W	1656	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR259C	1152	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR495C	3036	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL151C	582	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR357C	369	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR370C	1329	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR298C	639	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR276C	168	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL185C-A	228	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR545C-A	480	0	0	NA	0	0	0	0	0	NA	0	0	0
tM(CAU)D	73	0	0	NA	0	0	0	0	0	NA	0	0	0
YDL247W	1830	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR406W	4590	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR273W	1098	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR269C	324	0	0	NA	0	0	0	0	0	NA	0	0	0
YDR453C	591	0	0	NA	0	0	0	0	0	NA	0	0	0
